Section 1,Section 2,Total
5.0329060554504395,4.916062593460083,9.948968648910522
5.05027961730957,4.880986213684082,9.931265830993652
4.973738670349121,4.898265838623047,9.872004508972168
4.8184685707092285,4.878222227096558,9.696690797805786
4.988492488861084,4.897416830062866,9.88590931892395
5.003065824508667,4.904771089553833,9.9078369140625
5.114489793777466,4.913531303405762,10.028021097183228
4.928080797195435,4.872511386871338,9.800592184066772
5.160506010055542,4.9410624504089355,10.101568460464478
5.020498275756836,4.91023325920105,9.930731534957886
4.97419810295105,4.970076322555542,9.944274425506592
4.974395275115967,4.920105695724487,9.894500970840454
5.099390983581543,4.893001317977905,9.992392301559448
5.067170858383179,4.905647039413452,9.97281789779663
4.866042375564575,4.869178295135498,9.735220670700073
5.098162651062012,4.898508310317993,9.996670961380005
5.160979509353638,4.866500377655029,10.027479887008667
5.1761391162872314,4.9007039070129395,10.076843023300171
5.130491495132446,4.884013891220093,10.014505386352539
4.975514888763428,4.915935039520264,9.891449928283691
5.191484212875366,4.967114686965942,10.158598899841309
4.927262783050537,4.891343355178833,9.81860613822937
5.050996780395508,4.916994571685791,9.967991352081299
5.036663055419922,4.833343982696533,9.870007038116455
8.81762146949768,5.048349142074585,13.865970611572266
4.9582741260528564,4.838497161865234,9.79677128791809
5.051396131515503,4.824105739593506,9.875501871109009
4.973362684249878,4.82046914100647,9.793831825256348
4.990335702896118,4.8436524868011475,9.833988189697266
5.004830837249756,4.839908599853516,9.844739437103271
5.159970760345459,4.83518123626709,9.995151996612549
5.221903085708618,4.841693639755249,10.063596725463867
5.0215232372283936,4.873522758483887,9.89504599571228
5.051089763641357,4.849841356277466,9.900931119918823
5.160079002380371,4.856495380401611,10.016574382781982
4.9740729331970215,4.840195894241333,9.814268827438354
5.361318111419678,4.841628074645996,10.202946186065674
5.578766345977783,4.876986026763916,10.4557523727417
5.205999374389648,4.852035760879517,10.058035135269165
4.865372180938721,4.850447177886963,9.715819358825684
4.834225177764893,9.90583324432373,14.740058422088623
4.927593469619751,4.898983478546143,9.826576948165894
5.50223183631897,4.839688062667847,10.341919898986816
6.864325046539307,4.83673882484436,11.701063871383667
5.1447179317474365,4.944127798080444,10.08884572982788
5.158951282501221,4.896235942840576,10.055187225341797
4.959977388381958,4.938396692276001,9.898374080657959
6.029162645339966,4.956828355789185,10.98599100112915
4.912490129470825,4.8898766040802,9.802366733551025
5.005517959594727,4.901042938232422,9.906560897827148
